station_id,lat,lon,elev,state,name,gsn_flag,hcn/crn_flag,wmo_id
US1TXBRZ025,29.5478,-95.3485,16.8,TX,PEARLAND 4.4 W,,,
US1TXBRZ036,29.5483,-95.3984,19.5,TX,PEARLAND 7.4 W,,,
US1TXFB0012,29.6166,-95.6332,21.9,TX,SUGAR LAND 1.0 W,,,
US1TXFB0020,29.6084,-95.5421,24.4,TX,STAFFORD 1.7 SE,,,
US1TXFB0024,29.74,-95.7498,33.5,TX,KATY 6.0 SE,,,
US1TXFB0025,29.6388,-95.6269,25.9,TX,SUGAR LAND 1.5 NNW,,,
US1TXFB0030,29.7018,-95.8007,36.0,TX,KATY 6.8 SSE,,,
US1TXFB0044,29.5571,-95.5227,22.9,TX,MISSOURI CITY 1.3 SE,,,
US1TXFB0053,29.7087,-95.7576,31.4,TX,KATY 7.3 SSE,,,
US1TXFB0054,29.5037,-95.5038,20.1,TX,MISSOURI CITY 5.1 SSE,,,
US1TXFB0055,29.559,-95.5794,20.1,TX,MISSOURI CITY 2.7 WSW,,,
US1TXFB0063,29.6511,-95.7473,27.1,TX,RICHMOND 4.9 NNE,,,
US1TXGV0029,29.5303,-95.0236,4.6,TX,KEMAH 0.2 WNW,,,
US1TXGV0034,29.5407,-95.0698,5.5,TX,LEAGUE CITY 2.7 NE,,,
US1TXGV0046,29.5231,-95.0382,5.2,TX,LEAGUE CITY 3.6 ENE,,,
US1TXHRR001,29.5822,-95.1299,11.9,TX,WEBSTER 3.5 NNW,,,
US1TXHRR002,29.7207,-95.3073,13.1,TX,HOUSTON 5.8 SE,,,
US1TXHRR004,29.7129,-95.6688,29.9,TX,MISSION BEND 1.4 N,,,
US1TXHRR015,30.0022,-95.196,21.6,TX,KINGWOOD 3.9 S,,,
US1TXHRR017,29.781,-95.4759,20.7,TX,HILSHIRE VILLAGE 1.0 SE,,,
US1TXHRR018,29.7276,-95.3846,14.6,TX,HOUSTON 2.8 S,,,
US1TXHRR019,29.9248,-95.0759,13.1,TX,CROSBY 1.3 NW,,,
US1TXHRR020,29.7845,-95.372,20.1,TX,HOUSTON 1.4 NE,,,
US1TXHRR023,29.5767,-95.1611,8.2,TX,WEBSTER 4.0 NW,,,
US1TXHRR024,29.5743,-95.0633,4.6,TX,TAYLOR LAKE VILLAGE 0.5 W,,,
US1TXHRR026,29.7087,-95.4391,15.8,TX,WEST UNIVERSITY PLACE 0.6 SW,,,
US1TXHRR027,29.8138,-95.5505,29.0,TX,BUNKER HILL VILLAGE 3.6 NNW,,,
US1TXHRR028,29.5371,-95.1215,7.6,TX,WEBSTER 0.4 NW,,,
