station_id,lat,lon,elev,state,name,gsn_flag,hcn/crn_flag,wmo_id
US1TXAC0002,33.8281,-98.5492,305.7,TX,WICHITA FALLS 5.2 SSW,,,
US1TXAC0003,33.5838,-98.6298,323.7,TX,ARCHER CITY 0.7 SSW,,,
US1TXAC0005,33.7762,-98.535,300.2,TX,WICHITA FALLS 8.5 S,,,
US1TXAC0009,33.8328,-98.536,300.5,TX,WICHITA FALLS 4.6 SSW,,,
US1TXAD0002,32.0533,102.8796,973.5,TX,ANDREWS 26.7 SW,,,
US1TXAG0001,31.3213,-94.8445,91.1,TX,LUFKIN 7.0 W,,,
US1TXAG0002,31.1464,-94.3856,94.2,TX,ZAVALLA 2.0 ESE,,,
US1TXAG0003,31.3034,-94.7627,75.3,TX,LUFKIN 3.0 SW,,,
US1TXAG0004,31.2058,-94.3357,57.0,TX,ZAVALLA 5.9 NE,,,
US1TXAG0005,31.3212,-94.7211,86.0,TX,LUFKIN 0.9 SSE,,,
US1TXAG0006,31.3627,-94.8074,105.8,TX,LUFKIN 5.2 WNW,,,
US1TXAG0009,31.298,-94.8473,78.0,TX,LUFKIN 7.6 WSW,,,
US1TXAG0010,31.3283,-94.7815,101.5,TX,HUDSON 0.9 E,,,
US1TXAM0002,34.9449,101.5942,907.1,TX,CLAUDE 17.3 SW,,,
US1TXAN0002,31.7877,-95.5268,101.8,TX,PALESTINE 7.3 ENE,,,
US1TXAN0003,31.8355,-95.4705,114.3,TX,PALESTINE 11.7 ENE,,,
US1TXAN0004,31.7596,-95.6154,146.9,TX,PALESTINE 1.8 E,,,
US1TXAN0006,31.7874,-95.7029,132.0,TX,PALESTINE 3.9 WNW,,,
US1TXAN0007,31.7446,-95.6192,166.4,TX,PALESTINE 1.8 ESE,,,
US1TXAN0008,32.0101,-95.64,142.3,TX,PALESTINE 17.5 N,,,
US1TXAN0009,31.9958,-95.7104,95.1,TX,PALESTINE 17.0 NNW,,,
US1TXAR0003,28.0694,-97.0648,11.0,TX,ROCKPORT 2.1 NNW,,,
US1TXAR0005,28.0497,-97.0531,4.9,TX,ROCKPORT 0.6 N,,,
US1TXAR0006,28.0825,-97.0626,3.4,TX,ROCKPORT 3.0 NNW,,,
US1TXAR0007,28.0357,-97.0717,5.8,TX,ROCKPORT 1.3 WSW,,,
US1TXAR0008,27.9727,-97.1349,6.1,TX,ARANSAS PASS 6.1 NNW,,,
US1TXAR0009,28.0723,-97.0389,5.5,TX,ROCKPORT 2.3 NNE,,,
US1TXAR0010,28.3103,-96.8039,4.9,TX,AUSTWELL 6.0 SSE,,,
US1TXAR0014,27.9894,-97.0949,2.1,TX,ROCKPORT 4.4 SW,,,
US1TXAS0001,29.7904,-96.1599,57.6,TX,SEALY 1.2 NNW,,,
US1TXAS0002,29.8925,-96.489,118.9,TX,NEW ULM 0.1 ENE,,,
US1TXAS0003,29.881,-96.331,93.3,TX,CAT SPRING 3.8 N,,,
US1TXAS0004,29.9515,-96.2544,84.4,TX,BELLVILLE 0.4 NE,,,
US1TXAS0005,29.7757,-96.1581,59.1,TX,SEALY 0.3 WNW,,,
US1TXAS0006,29.8029,-96.1211,55.8,TX,SAN FELIPE 1.0 WNW,,,
US1TXAS0007,29.7987,-96.1392,53.3,TX,SEALY 1.9 NNE,,,
US1TXAS0008,30.0255,-96.4733,116.1,TX,INDUSTRY 4.0 NNE,,,
US1TXAS0010,29.8322,-96.162,52.4,TX,SEALY 4.1 N,,,
US1TXAS0011,29.8553,-96.3207,96.6,TX,CAT SPRING 0.7 NNE,,,
US1TXAS0012,29.8662,-96.3264,91.7,TX,CAT SPRING 1.4 N,,,
US1TXAS0014,29.9082,-96.139,43.9,TX,BELLVILLE 7.6 ESE,,,
US1TXAS0015,30.0341,-96.2209,79.2,TX,BELLVILLE 6.5 NNE,,,
US1TXAS0016,30.0171,-96.2825,96.6,TX,BELLVILLE 5.1 NNW,,,
US1TXAS0017,29.6411,-96.051,41.5,TX,WALLIS 1.1 NE,,,
US1TXAS0018,29.9508,-96.2452,83.8,TX,BELLVILLE 0.9 ENE,,,
US1TXAS0019,29.8488,-96.3239,96.9,TX,BELLVILLE 7.8 SSW,,,
US1TXAT0001,29.0654,-98.516,146.0,TX,POTEET 4.1 ENE,,,
US1TXAT0002,28.955,-98.5186,125.9,TX,PLEASANTON 1.8 WSW,,,
US1TXAT0005,28.8316,-98.5792,131.1,TX,JOURDANTON 6.0 SSW,,,
US1TXAT0007,28.9692,-98.4936,121.9,TX,PLEASANTON 0.3 NNW,,,
US1TXAT0008,28.9756,-98.4851,107.9,TX,PLEASANTON 0.9 NNE,,,
US1TXAT0010,29.0728,-98.4812,150.0,TX,LEMING 0.1 E,,,
US1TXAT0015,28.8869,-98.4601,124.7,TX,PLEASANTON 5.7 SSE,,,
US1TXAT0016,29.0049,-98.4185,135.0,TX,PLEASANTON 5.2 ENE,,,
US1TXAT0018,28.965,-98.485,109.7,TX,PLEASANTON 0.4 E,,,
US1TXAT0019,28.7861,-98.5215,104.5,TX,CHRISTINE 1.4 W,,,
US1TXAT0021,28.9789,-98.5837,139.6,TX,JOURDANTON 5.2 NNW,,,
US1TXAT0023,28.963,-98.5012,124.7,TX,PLEASANTON 0.6 W,,,
US1TXAT0025,29.0529,-98.3778,147.8,TX,PLEASANTON 9.1 NE,,,
US1TXAT0026,29.0478,-98.655,155.8,TX,POTEET 4.9 W,,,
US1TXAT0028,29.2069,-98.7853,207.3,TX,LYTLE 2.0 SSE,,,
US1TXAT0034,29.0644,-98.5983,160.0,TX,POTEET 2.3 NW,,,
US1TXAT0037,28.9609,-98.5241,133.8,TX,PLEASANTON 2.0 W,,,
US1TXAT0038,28.9202,-98.5475,143.9,TX,JOURDANTON 0.6 NW,,,
US1TXAT0042,28.8541,-98.7072,164.9,TX,CHARLOTTE 0.6 SW,,,
US1TXAT0045,29.0294,-98.4996,130.1,TX,PLEASANTON 4.5 N,,,
US1TXBEE003,28.3198,-97.7608,68.0,TX,BEEVILLE 6.0 S,,,
US1TXBEE005,28.3594,-97.651,57.0,TX,BEEVILLE 6.8 ESE,,,
US1TXBEE007,28.4203,-97.7429,68.9,TX,BEEVILLE 1.1 NNE,,,
US1TXBEE009,28.4086,-97.748,67.4,TX,BEEVILLE 0.2 NNE,,,
US1TXBEE010,28.4506,-97.8038,95.7,TX,BEEVILLE 4.5 NW,,,
US1TXBEE012,28.56,-98.022,89.9,TX,PAWNEE 6.0 SSW,,,
US1TXBEE017,28.5335,-97.7747,95.4,TX,NORMANNA 0.5 ENE,,,
US1TXBEE018,28.2751,-97.7601,57.0,TX,BEEVILLE 9.0 S,,,
US1TXBEL001,31.0229,-97.2493,158.5,TX,TEMPLE 8.5 SE,,,
US1TXBEL002,31.0855,-97.4649,189.9,TX,BELTON 1.2 N,,,
US1TXBEL003,31.0765,-97.6371,233.8,TX,HARKER HEIGHTS 1.5 NE,,,
US1TXBEL005,31.076,-97.6773,256.0,TX,HARKER HEIGHTS 1.7 NW,,,
US1TXBEL008,31.1239,-97.4733,210.9,TX,BELTON 3.9 N,,,
US1TXBEL009,31.1231,-97.5284,230.4,TX,BELTON 5.4 NW,,,
US1TXBEL010,30.9294,-97.524,205.1,TX,SALADO 1.5 S,,,
US1TXBEL012,31.1965,-97.5007,209.4,TX,TEMPLE 10.6 NW,,,
US1TXBEL016,31.0306,-97.3496,173.1,TX,TEMPLE 4.7 S,,,
US1TXBEL017,31.1007,-97.4419,176.5,TX,TEMPLE 4.6 W,,,
US1TXBEL021,31.0264,-97.2539,159.1,TX,TEMPLE 8.1 SE,,,
US1TXBEL022,30.7997,-97.4289,180.4,TX,BARTLETT 0.4 NNE,,,
US1TXBEL023,31.067,-97.4564,175.6,TX,BELTON 0.4 E,,,
US1TXBEL024,31.0984,-97.4816,203.9,TX,BELTON 2.3 NNW,,,
US1TXBEL025,31.0581,-97.7326,279.2,TX,KILLEEN 2.9 SSW,,,
US1TXBEL027,31.1636,-97.2694,188.7,TX,TROY 3.1 SE,,,
US1TXBEL028,31.1022,-97.4426,176.2,TX,TEMPLE 4.7 W,,,
US1TXBEL029,31.0529,-97.3897,180.4,TX,TEMPLE 3.5 SSW,,,
US1TXBEL031,31.1507,-97.4657,211.8,TX,MORGAN'S POINT RESORT 0.8 WSW,,,
US1TXBEL032,31.1592,-97.4377,202.1,TX,MORGAN'S POINT RESORT 1.0 ENE,,,
US1TXBEL033,31.0556,-97.4871,184.7,TX,BELTON 1.6 WSW,,,
US1TXBEL034,31.0684,-97.4561,174.3,TX,BELTON 0.4 E,,,
US1TXBEL036,31.0908,-97.6768,237.1,TX,KILLEEN 2.4 ESE,,,
US1TXBEL037,30.9461,-97.541,186.2,TX,SALADO 1.0 WSW,,,
US1TXBEL038,30.9759,-97.4605,171.6,TX,BELTON 6.4 S,,,
US1TXBEL039,31.1861,-97.3422,242.0,TX,TEMPLE 6.2 NNE,,,
US1TXBEL040,31.0643,-97.4912,202.7,TX,BELTON 1.6 W,,,
US1TXBEL041,30.9837,-97.6458,235.9,TX,SALADO 7.5 WNW,,,
US1TXBEL042,30.9721,-97.6174,258.8,TX,SALADO 5.7 WNW,,,
US1TXBEL043,31.0947,-97.5319,195.1,TX,BELTON 4.4 WNW,,,
US1TXBEL044,31.1697,-97.2416,189.0,TX,TROY 4.3 ESE,,,
US1TXBEL045,30.8766,-97.5133,235.6,TX,SALADO 5.2 S,,,
US1TXBEL047,31.0598,-97.4847,189.6,TX,BELTON 1.4 WSW,,,
US1TXBEL048,31.1045,-97.4407,179.2,TX,TEMPLE 4.6 W,,,
US1TXBEL050,30.9835,-97.5362,209.1,TX,SALADO 2.4 NNW,,,
US1TXBEL052,31.0091,-97.2556,173.4,TX,TEMPLE 8.9 SE,,,
US1TXBEL053,31.1123,-97.3799,207.9,TX,TEMPLE 1.4 NW,,,
US1TXBEL054,31.1545,-97.4753,216.1,TX,BELTON 6.0 N,,,
US1TXBEL055,31.1778,-97.3294,235.0,TX,TEMPLE 5.9 NNE,,,
US1TXBEL056,31.0814,-97.397,165.5,TX,TEMPLE 2.3 WSW,,,
US1TXBEL057,30.9509,-97.4763,185.0,TX,SALADO 2.9 E,,,
US1TXBEL059,31.0273,-97.6508,220.4,TX,HARKER HEIGHTS 2.4 S,,,
US1TXBEL060,31.0438,-97.5846,255.1,TX,BELTON 7.4 WSW,,,
US1TXBEL061,30.8874,-97.5801,231.6,TX,SALADO 5.5 SW,,,
US1TXBEL063,31.1622,-97.4501,204.2,TX,MORGAN'S POINT RESORT 0.5 NNE,,,
US1TXBEL065,31.0388,-97.6039,211.5,TX,BELTON 8.5 WSW,,,
US1TXBEL068,31.2375,-97.5014,226.2,TX,MOODY 9.7 WSW,,,
US1TXBEL069,31.0698,-97.3916,183.5,TX,TEMPLE 2.5 SW,,,
US1TXBEL070,31.0895,-97.4885,190.8,TX,BELTON 2.1 NW,,,
US1TXBEL071,31.1166,-97.408,178.3,TX,TEMPLE 2.9 WNW,,,
US1TXBEL072,31.1079,-97.6413,249.6,TX,KILLEEN 4.5 E,,,
US1TXBEL073,31.1006,-97.4433,174.0,TX,TEMPLE 4.7 W,,,
US1TXBEL074,31.1169,-97.436,188.1,TX,TEMPLE 4.5 WNW,,,
US1TXBEL076,31.0225,-97.6385,209.7,TX,HARKER HEIGHTS 2.8 SSE,,,
US1TXBEL078,31.128,-97.7221,264.6,TX,KILLEEN 2.1 N,,,
US1TXBLC002,30.2785,-98.4184,378.0,TX,JOHNSON CITY 0.8 WNW,,,
US1TXBLC003,30.1388,-98.5298,500.5,TX,BLANCO 7.0 WNW,,,
US1TXBLC004,30.2589,-98.5274,410.9,TX,JOHNSON CITY 7.3 W,,,
US1TXBLC006,30.0912,-98.3297,366.4,TX,BLANCO 5.5 E,,,
US1TXBLC007,30.0109,-98.3701,381.0,TX,BLANCO 6.8 SSE,,,
US1TXBLC008,30.0727,-98.3636,385.3,TX,BLANCO 3.9 ESE,,,
US1TXBLC010,30.3055,-98.4088,358.1,TX,JOHNSON CITY 2.2 N,,,
US1TXBLC011,30.1485,-98.2865,494.1,TX,BLANCO 8.8 ENE,,,
US1TXBLC012,30.0921,-98.3927,387.1,TX,BLANCO 1.8 ESE,,,
US1TXBLC013,30.4056,-98.2549,335.9,TX,ROUND MOUNTAIN 6.3 ESE,,,
US1TXBLC016,30.2835,-98.4103,357.5,TX,JOHNSON CITY 0.7 NNW,,,
US1TXBLC017,30.231,-98.2609,374.0,TX,JOHNSON CITY 9.2 ESE,,,
US1TXBLC019,30.3814,-98.161,262.4,TX,SPICEWOOD 6.5 S,,,
US1TXBLC020,30.3004,-98.5435,438.6,TX,JOHNSON CITY 7.9 WNW,,,
US1TXBLC023,30.0276,-98.335,379.5,TX,BLANCO 7.2 SE,,,
US1TXBLC026,30.0611,-98.3544,403.9,TX,BLANCO 4.8 ESE,,,
US1TXBLC028,30.1365,-98.2915,498.7,TX,BLANCO 8.3 ENE,,,
US1TXBLC029,30.3427,-98.2188,319.4,TX,CYPRESS MILLS 3.1 SE,,,
US1TXBLC034,30.3582,-98.319,420.0,TX,JOHNSON CITY 7.8 NE,,,
US1TXBLY002,34.2456,102.7247,1158.5,TX,MULESHOE 1.2 N,,,
US1TXBND001,29.8323,-99.2781,463.6,TX,MEDINA 3.0 NW,,,
US1TXBND002,29.7437,-99.5323,513.9,TX,VANDERPOOL 1.4 SE,,,
US1TXBND004,29.7777,-99.3976,521.5,TX,MEDINA 8.8 WSW,,,
US1TXBND005,29.7303,-99.0091,380.1,TX,BANDERA 3.9 E,,,
US1TXBND008,29.7453,-98.9804,396.5,TX,PIPE CREEK 3.0 NW,,,
US1TXBND013,29.711,-98.9123,396.2,TX,PIPE CREEK 1.5 SE,,,
US1TXBND014,29.6791,-99.5521,475.2,TX,UTOPIA 4.8 NE,,,
US1TXBND018,29.5938,-98.9302,335.9,TX,LAKEHILLS 1.1 SE,,,
US1TXBND019,29.6212,-98.9364,376.4,TX,LAKEHILLS 1.2 NNE,,,
US1TXBND022,29.8431,-99.119,491.9,TX,BANDERA 8.6 NNW,,,
US1TXBND023,29.7202,-99.1262,414.8,TX,BANDERA 3.2 W,,,
US1TXBND025,29.8252,-99.2348,478.2,TX,MEDINA 2.1 NNE,,,
US1TXBND029,29.7714,-99.0161,448.4,TX,BANDERA 4.7 NE,,,
US1TXBND030,29.8175,-99.0839,451.4,TX,BANDERA 6.4 N,,,
US1TXBND033,29.73,-99.0073,380.7,TX,BANDERA 4.0 E,,,
US1TXBND037,29.7284,-99.0735,382.8,TX,BANDERA 0.2 N,,,
US1TXBND038,29.6597,-98.9794,349.9,TX,PIPE CREEK 3.4 SW,,,
US1TXBND039,29.7284,-99.0735,382.8,TX,BANDERA 0.2 N,,,
US1TXBND040,29.75,-98.857,500.5,TX,PIPE CREEK 6.2 NE,,,
US1TXBND041,29.7759,-99.1063,427.6,TX,BANDERA 4.0 NNW,,,
US1TXBND042,29.6369,-99.4899,435.6,TX,UTOPIA 2.7 ENE,,,
US1TXBND043,29.7758,-98.9652,419.1,TX,BANDERA 7.4 ENE,,,
US1TXBND044,29.7717,-98.9567,427.0,TX,PIPE CREEK 3.5 NNW,,,
US1TXBND047,29.7473,-98.8643,461.5,TX,PIPE CREEK 4.6 ENE,,,
US1TXBND048,29.6841,-98.9268,396.8,TX,PIPE CREEK 2.7 S,,,
US1TXBND050,29.7166,-98.988,360.0,TX,BANDERA 5.2 E,,,
US1TXBND054,29.8433,-99.2694,462.4,TX,MEDINA 3.4 NNW,,,
US1TXBND055,29.7811,-99.2453,473.4,TX,MEDINA 1.1 S,,,
US1TXBND058,29.8002,-98.9632,426.4,TX,BANDERA 8.4 NE,,,
US1TXBND059,29.7976,-99.1434,465.1,TX,BANDERA 6.5 NW,,,
US1TXBND060,29.8069,-99.2518,448.7,TX,MEDINA 0.7 NNW,,,
US1TXBND062,29.6257,-98.9058,391.7,TX,LAKEHILLS 2.7 ENE,,,
US1TXBND064,29.7973,-99.2077,446.8,TX,BANDERA 9.5 WNW,,,
US1TXBND066,29.8254,-99.1599,509.9,TX,BANDERA 8.7 NW,,,
US1TXBRC002,34.4097,101.0528,791.9,TX,CAPROCK CANYONS HEADQUARTERS,,,
US1TXBRC003,34.4105,101.0482,0.0,TX,CAPROCK CANYONS MAINTENANCE,,,
US1TXBRC004,34.4198,101.0572,0.0,TX,CAPROCK CANYONS DUMP STN,,,
US1TXBRC005,34.441,101.0928,0.0,TX,CAPROCK CANYONS SOUTH PRONG,,,
US1TXBRC006,34.4416,101.0549,0.0,TX,CAPROCK CANYONS WILD HORSE CAM,,,
US1TXBRC007,34.374,101.0765,799.8,TX,QUITAQUE 1.3 WNW (DB),,,
US1TXBRC009,34.3752,101.0225,757.7,TX,QUITAQUE 1.9 ENE (CL),,,
US1TXBRK002,27.2255,-98.1525,36.3,TX,FALFURRIAS 0.5 WNW,,,
US1TXBRK003,27.1059,-98.2058,45.1,TX,FALFURRIAS 8.9 SSW,,,
US1TXBRK004,27.213,-98.0446,26.5,TX,FALFURRIAS 6.2 E,,,
US1TXBRK005,27.2257,-98.1516,36.0,TX,FALFURRIAS 0.4 WNW,,,
US1TXBRK006,27.2128,-98.1505,36.0,TX,FALFURRIAS 0.8 SSW,,,
US1TXBRL001,30.5206,-96.8397,132.0,TX,CALDWELL 8.2 W,,,
US1TXBRL007,30.5475,-96.5282,82.6,TX,TUNIS 0.2 NW,,,
US1TXBRN002,31.7555,-98.8697,447.4,TX,BROWNWOOD 6.7 ENE,,,
US1TXBRN003,31.703,-98.9769,412.4,TX,BROWNWOOD 1.2 S,,,
US1TXBRN008,31.7546,-99.1623,481.0,TX,BANGS 3.3 NW,,,
US1TXBRN009,31.832,-99.1686,440.4,TX,BROWNWOOD 13.7 NW,,,
US1TXBRN010,31.6861,-98.9524,425.2,TX,BROWNWOOD 2.7 SSE,,,
US1TXBRS001,30.2764,103.5797,1567.0,TX,ALPINE 7.9 SE,,,
US1TXBRS011,29.37,103.63,926.9,TX,TERLINGUA 3.4 NNW,,,
US1TXBRS014,30.3818,103.6563,1339.9,TX,ALPINE 1.4 NNE,,,
US1TXBRS016,30.2558,103.5784,1627.0,TX,ALPINE 9.0 SE,,,
US1TXBRS018,29.4307,103.4814,1068.3,TX,TERLINGUA 11.1 NE,,,
US1TXBRS019,29.6616,103.5333,1089.4,TX,TERLINGUA 23.9 NNE,,,
US1TXBRS020,29.4893,103.4664,1196.9,TX,STUDY BUTTE - TERLINGUA 12.6 N,,,
US1TXBRS021,30.3608,103.677,1374.6,TX,ALPINE 0.7 WSW,,,
US1TXBRS023,29.7038,103.3365,975.4,TX,ALPINE 49.6 SSE,,,
US1TXBRS027,29.322,103.6063,851.6,TX,TERLINGUA 0.6 E,,,
US1TXBRS031,29.4351,103.4999,1010.1,TX,TERLINGUA 13.0 NNE,,,
US1TXBRT001,30.8271,-98.2778,467.9,TX,BURNET 5.4 NNW,,,
US1TXBRT002,30.5505,-98.2409,240.2,TX,MARBLE FALLS 2.7 SE,,,
US1TXBRT003,30.8474,-98.363,360.0,TX,BUCHANAN DAM 7.4 NNE,,,
US1TXBRT005,30.5873,-98.2788,251.5,TX,MARBLE FALLS 0.7 NW,,,
US1TXBRT006,30.4975,-98.2258,281.0,TX,SPICEWOOD 4.4 NW,,,
US1TXBRT007,30.4671,-98.1345,253.3,TX,SPICEWOOD 1.4 SE,,,
US1TXBRT008,30.5139,-98.1395,236.5,TX,SPICEWOOD 3.0 NNE,,,
