CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11968188-101002015725,"8122 EASTON, HOUSTON TX 77017",HARRIS,I,PARK PLACE,0283160000006,SE,SE,MONDAY,1st Tuesday,MONDAY-B,535K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-01 22:26:41,2016-01-04 22:26:41,2016-01-05 13:34:53,0.63,Flooding-101002015725,3150427.37649,13818827.99375,29.69435854,-95.27657441,Voice In
11969729-101002020317,Intersection 6800 FANNIN ST&1102 HOLCOMBE BLVD,,D,MEDICAL CENTER AREA,,,,,,,532H,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-06 14:05:44,2016-01-09 14:05:44,2016-01-11 15:54:54,2.08,Flooding-101002020317,3110171.39073,13821886.65692,,,Voice In
11969729-101002020694,Intersection 6800 FANNIN ST&1102 HOLCOMBE BLVD,,D,MEDICAL CENTER AREA,,,,,,,532H,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-06 19:59:25,2016-01-09 19:59:25,2016-01-11 15:54:54,1.83,Flooding-101002020694,3110171.39073,13821886.65692,,,Voice In
11969871-101002020759,"1503 W DONOVAN, HOUSTON TX 77091",HARRIS,B,ACRES HOME,0985320000011,NW,NW,TUESDAY,4th Tuesday,TUESDAY-B,452F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-07 04:52:18,2016-01-10 04:52:18,2016-01-07 09:29:53,-2.81,Flooding-101002020759,3098332.95214,13871580.37643,29.84382015,-95.43552015,Voice In
11969875-101002020766,Intersection 1200 W BAY AREA BLVD&19606 GULF FWY,,,,,,,,,,618W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-07 06:19:22,2016-01-10 06:19:22,2016-01-11 12:34:52,1.26,Flooding-101002020766,3195013.07964,13764211.38645,,,Voice In
11969904-101002020832,"2015 QUITMAN, HOUSTON TX 77026",HARRIS,H,GREATER FIFTH WARD,0422020000008,,,,,,494A,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-07 07:50:33,2016-01-10 07:50:33,2016-01-11 09:39:53,1.08,Flooding - 102288,3126732.34516,13850821.7444,29.78411839,-95.34801113,WAP
11969986-101002021051,"12979 MCNAIR, HOUSTON TX 77015",HARRIS,I,NORTHSHORE,0642250080025,NE,NE,THURSDAY,1st Monday,THURSDAY-A,496H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-07 09:23:18,2016-01-10 09:23:18,2016-01-11 12:49:53,1.14,Flooding-101002021051,3173772.21661,13848220.14691,29.77308139,-95.2000749,Voice In
11969987-101002021059,"5954 SOUTHSEAS, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0761540480004,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-07 09:25:57,2016-01-10 09:25:56,2016-02-09 11:25:09,30.08,Flooding-101002021059,3133846.909,13811714.149379997,29.67624595,-95.32947645,Voice In
11970439-101002022289,Intersection 2300 MAURY ST&1900 QUITMAN ST,Harris County,H,NEAR NORTHSIDE,,NE,NW,FRIDAY,1st Friday,FRIDAY-B,493D,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-07 19:20:06,2016-01-10 19:20:06,2016-01-11 09:39:53,0.6,Flooding-101002022289,3126185.44433,13850455.14539,29.78339199,-95.34978496,Voice In
11970580-101002022650,"5610 CLINTON, HOUSTON TX 77020",HARRIS,H,DENVER HARBOR / PORT HOUSTON,1210520010002,,,,,,494L,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-08 09:19:51,2016-01-11 09:19:51,2016-01-11 09:49:53,0.02,Flooding-101002022650,3138789.55364,13842808.27781,29.76128605,-95.31083038,Voice In
11970598-101002022699,"5023 NORTHRUP, HOUSTON TX 77092",HARRIS,C,CENTRAL NORTHWEST,0973180000011,NW,NW,THURSDAY,4th Tuesday,THURSDAY-B,451F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-08 09:37:37,2016-01-11 09:37:36,2016-01-15 07:24:51,3.91,Flooding-101002022699,3084272.94056,13869356.14072,29.83887731,-95.48006189,Voice In
11970718-101002023011,"2104 GLEN HAVEN, HOUSTON TX 77030",HARRIS,C,UNIVERSITY PLACE,0620170000029,SW,SE,TUESDAY,3rd Monday,TUESDAY-B,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-08 11:36:06,2016-01-11 11:36:06,2016-01-11 15:59:52,0.18,Flooding,,,29.70304849,-95.40802802,WEB
11970727-101002023033,"12730 CHISWICK, HOUSTON TX 77047",HARRIS,D,CENTRAL SOUTHWEST,0980870010010,SW,SW,FRIDAY,4th Thursday,FRIDAY-B,572R,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-08 11:42:54,2016-01-11 11:42:53,2016-01-11 14:04:52,0.1,Flooding-101002023033,3110529.88444,13790862.0546,29.62092006,-95.40489027,Voice In
11970911-101002023572,Intersection 21400 BEAR CUB LN&1836 BLACK BEAR DR,Harris County,E,LAKE HOUSTON,,NE,NE,TUESDAY,2nd Wednesday,TUESDAY-A,378C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-08 15:58:30,2016-01-11 15:58:30,2016-01-12 14:59:53,0.96,Flooding-101002023572,3196636.84674,13926467.19317,29.98607344,-95.11985899,Voice In
11970978-101002023788,Intersection 1900 CULLEN BLVD&0 GULF FWY,,I,GREATER EASTWOOD,,,,,,,494W,East Downtown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-08 18:22:40,2016-01-11 18:22:40,2016-01-10 06:49:52,-1.48,Flooding-101002023788,3129259.47559,13831916.69953,,,Voice In
11970985-101002023818,"5814 SOUTHSEAS, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0761540490007,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-08 18:58:41,2016-01-11 18:58:41,2016-01-11 09:19:52,-0.4,Flooding-101002023818,3132462.2054,13811596.58597,29.67604223,-95.33384663,Voice In
11971041-101002023927,"5510 RICE, HOUSTON TX 77081",HARRIS,J,GULFTON,1199280000001,,,,,,531C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-08 22:22:02,2016-01-11 22:22:02,2016-01-11 15:54:53,-0.27,Flooding-101002023927,3088654.4377,13827250.70525,29.72277725,-95.47025571,Voice In
11972083-101002026504,Intersection 2100 GLEN HAVEN BLVD&7300 MAIN ST,Harris County,K,MEDICAL CENTER AREA,,,,,,,532M,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-11 23:12:41,2016-01-14 23:12:41,2016-01-12 07:49:53,-2.64,Flooding-101002026504,3108683.00886,13820567.61855,29.70273018,-95.40782921,Voice In
11973014-101002029143,"4312 A GIBSON, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1345470010004,NW,NW,MONDAY,1st Wednesday,MONDAY-A,492M,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-13 12:38:59,2016-01-16 12:38:58,2016-01-15 07:19:52,-1.22,Flooding,,,29.76714351,-95.40391751,WEB
11974260-101002032371,"2506 ARBOR, HOUSTON TX 77004",HARRIS,D,MACGREGOR,0611060000007,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,533B,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-15 11:08:35,2016-01-18 11:08:35,2016-01-20 12:54:55,2.07,Flooding,,,29.72280733,-95.37259214,WEB
11979234-101002046737,"1410 FEATHERSTONE, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,0523140020015,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-27 08:14:12,2016-01-30 08:14:12,2016-01-29 10:35:00,-0.9,Flooding-101002046737,3133233.95583,13847592.10092,29.7749158,-95.32785871,Voice In
11980029-101002049089,"1009 CORDELL, HOUSTON TX 77009",HARRIS,H,GREATER HEIGHTS,0331260820011,NW,NW,THURSDAY,1st Friday,Thursday-b,453X,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-28 14:40:40,2016-01-31 14:40:39,2016-02-02 07:50:03,1.71,Flooding - 106171,3118012.41479,13856495.93833,29.80069729,-95.37494974,WAP
11980185-101002049544,Intersection 7800 BELGARD ST&5968 BELLFORT ST,Harris County,D,SOUTH PARK,,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-28 19:22:11,2016-01-31 19:22:11,2016-01-29 08:40:01,-2.45,Flooding-101002049544-101002049544,3135313.99038,13808234.71999,29.66655531,-95.32520282,Voice In
