CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11587258-101000874011,Intersection 4600 BRICKER ST&8000 ROCK ROSE ST,,D,SUNNYSIDE,,SE,SE,FRIDAY,4th Thursday,,533V,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-01 09:11:22,2013-01-11 09:11:22,2013-01-02 15:45:07,-8.73,Pothole,3125084.15487,13810189.89488,,,Voice In
11587316-101000874113,"11103 BRIAR FOREST, HOUSTON TX 77042",HARRIS,G,BRIAR FOREST,0451380010133,,,,,,489P,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-01 14:27:11,2013-01-11 14:27:11,2013-01-03 13:45:06,-8.03,Pothole,,,29.74754479,-95.57246465,WEB
11587351-101000874173,Intersection 6800 GREENBRIAR DR&2300 W HOLCOMBE BLVD,,C,UNIVERSITY PLACE,,,,,,,532G,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-01 18:32:41,2013-01-11 18:32:41,2013-01-03 07:25:05,-8.46,Pothole,,,,,WEB
11587354-101000874180,"5001 GASMER, HOUSTON TX 77035",HARRIS,K,WESTBURY,0410520000030,,,,,,571C,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-01 18:46:52,2013-01-11 18:46:52,2013-01-02 16:05:06,-9.11,Pothole,3090441.93,13800427.95,29.64889823,-95.46717896,Voice In
11587375-101000874214,"13300 W BELLFORT, HOUSTON TX 77099",FORT BEND,F,ALIEF,1450000001600907,,,,,,528Y,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 05:11:41,2013-01-12 05:11:41,2013-01-03 15:25:08,-8.57,Pothole,,,,,Unknown
11587431-101000874377,"7702 MOLINE, HOUSTON TX 77087",HARRIS,I,GOLFCREST / BELLFORT / REVEILLE,0650960040008,SE,SE,TUESDAY,3rd Wednesday,TUESDAY-A,535N,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 09:01:38,2013-01-12 09:01:37,2013-01-04 16:05:04,-7.71,Pothole,3147427.05,13814689.59,29.68324574,-95.28643382,Voice In
11587445-101000874414,Intersection 6800 GREENBRIAR DR&2300 W HOLCOMBE BLVD,,C,UNIVERSITY PLACE,,,,,,,532G,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 09:23:31,2013-01-12 09:23:31,2013-01-03 14:45:02,-8.78,Pothole,3107133.60875,13821784.36808,,,Voice In
11587450-101000874427,Intersection 3400 W FM 1960 RD&14600 T C JESTER BLVD,,,,,,,,,,331T,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 09:28:44,2013-01-12 09:28:44,2013-01-04 15:25:01,-7.75,Pothole,3082301.54522,13927046.16511,,,Voice In
11587453-101000874444,Intersection 7900 E ERATH ST&700 FENNELL ST,Harris County,I,HARRISBURG / MANCHESTER,,SE,SE,MONDAY,,MONDAY-B,535B,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 09:33:50,2013-01-12 09:33:49,2013-01-03 14:45:02,-8.78,Pothole,3148719.85891,13828254.80167,29.72041897,-95.28100594,Voice In
11587511-101000874601,"7415 SANDPIPER, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882420000005,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530M,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:42:23,2013-01-12 10:42:23,2013-01-04 10:24:55,-8.01,Pothole,3078006.75,13817821.87,29.69773855,-95.50467554,Voice In
