,CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
94,12202679-101002866197,Intersection 7400 BAUMAN RD&300 E CROSSTIMBERS ST,,H,NORTHSIDE/NORTHLINE,,NE,NE,MONDAY,3rd Monday,Monday-a,453L,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-01 12:29:04,2018-01-03 12:29:03,2018-01-02 14:05:04,-0.93,Pothole-101002866197,3118827.07388,13866610.307299998,,,Voice In
136,12202697-101002866241,Intersection 1800 BARKER CYPRESS RD&17900 S PARK VIEW DR,,A,ADDICKS PARK TEN,,,,,,,447W,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-01 14:48:25,2018-01-03 14:48:25,2018-01-10 14:50:05,7.0,Pothole,,,,,Unknown
141,12202702-101002866246,Intersection 5650 HOLLISTER ST&0 NORTHWEST FWY,,A,FAIRBANKS / NORTHWEST CROSSING,,,,,,,450D,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-01 14:57:02,2018-01-03 14:57:02,2018-01-02 12:05:03,-1.12,Pothole-101002866246,3076060.30672,13872637.39827,,,Voice In
210,12202739-101002866318,"10500 BELLAIRE, HOUSTON TX 77072",HARRIS,F,ALIEF,1149760000005,,,,,,529G,Westchase MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-01 20:54:34,2018-01-04 08:00:00,2018-01-02 10:30:03,-1.9,Pothole,,,29.70652555,-95.5663959,WEB
274,12202759-101002866386,Intersection 1800 DART ST&100 GARVIN CT&1300 SILVER ST,,H,WASHINGTON AVENUE COALITION / MEMORIAL P,,,,,,,493F,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 07:45:16,2018-01-03 16:45:16,2018-01-02 13:00:04,-1.16,Pothole,,,,,Unknown
276,12202760-101002866388,Intersection 1500 DART ST&1300 JOHNSON ST,,H,WASHINGTON AVENUE COALITION / MEMORIAL P,,,,,,,493F,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 07:49:39,2018-01-03 16:49:39,2018-01-02 13:40:04,-1.13,Pothole,,,,,Unknown
304,12202774-101002866418,Intersection 1000 ELDRIDGE PKWY&1100 ENCLAVE PKWY,,G,ELDRIDGE / WEST OAKS,,,,,,,488F,HCID #4 (Energy Corridor),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 08:21:32,2018-01-04 08:21:28,2018-01-03 13:55:05,-0.77,Pothole-101002866418,3039672.91034,13842549.08049,,,Voice In
319,12202779-101002866434,"3904 KENNON, HOUSTON TX 77009",HARRIS,H,NEAR NORTHSIDE,0550620060010,NE,NW,FRIDAY,1st Friday,FRIDAY-B,453Y,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 08:33:19,2018-01-04 08:33:19,2018-01-03 11:50:04,-0.86,Pothole,,,29.79541399,-95.36443229,Unknown
439,12202830-101002866563,Intersection 8200 FELAND&8140 E HOUSTON RD,,B,EAST HOUSTON,,,,,,,455G,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 10:03:46,2018-01-04 10:03:46,2018-01-02 13:45:04,-1.85,Pothole-101002866563,3151760.00801,13870614.39116,,,Voice In
445,12202774-101002866570,Intersection 1000 ELDRIDGE PKWY&1100 ENCLAVE PKWY,,G,ELDRIDGE / WEST OAKS,,,,,,,488F,HCID #4 (Energy Corridor),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 10:06:10,2018-01-04 10:06:10,2018-01-02 10:06:21,-2.0,Pothole,,,,,WEB
489,12202855-101002866621,"10300 HARWIN, HOUSTON TX 77036",HARRIS,F,SHARPSTOWN,1096720000001,,,,,,530A,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 10:31:20,2018-01-04 10:31:20,2018-01-03 11:10:04,-0.97,Pothole,,,29.71810571,-95.54644324,WEB
501,12202859-101002866633,Intersection 1000 HAWTHORNE ST&3400 MONTROSE BLVD,,C,NEARTOWN - MONTROSE,,,,,,,493S,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 10:39:56,2018-01-04 10:39:56,2018-01-03 10:20:04,-1.01,Pothole-101002866633,3113508.51627,13835136.21769,,,Voice In
526,12202865-101002866659,Intersection 20800 BIRNAMWOOD BLVD&4000 FARRELL RD,,B,IAH / AIRPORT AREA,,,,,,,333V,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 10:49:56,2018-01-04 10:49:56,2018-01-03 14:50:04,-0.83,Pothole,,,,,WEB
739,12202932-101002866894,Intersection 13400 W BELLFORT AVE&2732 ELDRIDGE RD&10500 SYNOTT RD,,F,ALIEF,,,,,,,528Y,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 12:49:41,2018-01-04 12:49:41,2018-01-03 09:25:04,-1.14,Pothole,,,,,WEB
858,12202980-101002867032,"523 TURNER, HOUSTON TX 77076",HARRIS,H,NORTHSIDE/NORTHLINE,0740110000020,NE,NW,MONDAY,3rd Monday,MONDAY-B,453C,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 14:00:48,2018-01-04 14:00:48,2018-01-03 14:00:05,-1.0,Pothole,,,29.85156586,-95.36814695,WEB
978,101002867169,"2420 PARK, HOUSTON TX 77019",HARRIS,C,NEARTOWN - MONTROSE,1287620010001,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492V,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 15:26:38,2018-01-04 15:26:38,2018-01-02 16:58:54,-1.94,Pothole,,,29.74407222,-95.40316075,Voice In
